Date,Region,Product,Quantity,Unit Price,Cost,Revenue,Profit
2023-03-19,Central,Headphones,13,2609,2054.9,33917,7203.299999999999
2023-03-19,North,Mouse,11,1889,1460.83,20779,4709.870000000001
2023-03-19,South,Keyboard,13,9378,6812.26,121914,33354.619999999995
2023-03-20,East,Headphones,4,7596,5891.71,30384,6817.16
2023-03-20,East,Tablet,10,14141,8700.22,141410,54407.8
2023-03-20,West,Laptop,12,14769,12378.97,177228,28680.360000000008
2023-03-20,East,Mouse,7,6242,3803.91,43694,17066.63
2023-03-20,Central,Smartwatch,1,3290,2380.71,3290,909.29
2023-03-20,Central,Keyboard,13,13666,9115.21,177658,59160.27000000001
2023-03-20,Central,Phone,6,8738,6802.72,52428,11611.679999999998
2023-03-21,South,Monitor,6,5561,4640.33,33366,5524.02
2023-03-22,West,Headphones,1,4608,2842.95,4608,1765.0500000000002
2023-03-23,East,Phone,2,3406,2121.89,6812,2568.2200000000003
2023-03-24,West,Mouse,5,1735,1211.06,8675,2619.7000000000003
2023-03-24,Central,Printer,11,9165,6923.62,100815,24655.18
2023-03-25,West,Printer,7,1140,906.74,7980,1632.82
2023-03-25,North,Monitor,4,1495,1264.04,5980,923.8400000000001
2023-03-25,East,Phone,14,7442,5306.33,104188,29899.38
2023-03-26,East,Mouse,7,11660,7371.6,81620,30018.799999999996
2023-03-26,North,Tablet,9,1729,1251.11,15561,4301.010000000001
2023-03-26,West,Camera,1,4220,3037.35,4220,1182.65
2023-03-26,South,Phone,1,1159,910.41,1159,248.59000000000003
2023-03-26,East,Mouse,2,14819,11893.53,29638,5850.939999999999
2023-03-27,West,Keyboard,4,2619,1797.4,10476,3286.3999999999996
2023-03-28,North,Monitor,4,2292,1830.66,9168,1845.3599999999997
2023-03-28,North,Tablet,5,2508,1536.48,12540,4857.6
2023-03-28,West,Mouse,8,10228,6438.54,81824,30315.68
2023-03-28,West,Camera,9,11007,7412.33,99063,32352.03
2023-03-29,Central,Mouse,5,4163,2783.96,20815,6895.2
2023-03-29,West,Laptop,9,9965,7114.28,89685,25656.480000000003
2023-03-29,North,Phone,14,2107,1528.0,29498,8106.0
2023-03-29,Central,Printer,5,2473,1544.65,12365,4641.75
2023-03-29,West,Mouse,13,7216,4501.77,93808,35284.98999999999
2023-03-30,South,Camera,5,13543,8965.63,67715,22886.850000000006
2023-03-31,East,Tablet,7,12909,8178.0,90363,33117.0
2023-03-31,Central,Tablet,9,4455,3497.66,40095,8616.060000000001
2023-04-01,West,Monitor,6,9462,7516.65,56772,11672.100000000002
2023-04-01,South,Phone,7,5140,4246.25,35980,6256.25
2023-04-02,South,Mouse,2,7956,6231.95,15912,3448.1000000000004
2023-04-02,East,Mouse,6,1241,796.57,7446,2666.58
2023-04-02,North,Keyboard,9,10295,8405.19,92655,17008.289999999994
2023-04-02,Central,Smartwatch,9,13951,10312.37,125559,32747.66999999999
2023-04-03,North,Laptop,8,10565,7118.41,84520,27572.72
2023-04-03,North,Camera,3,6944,5671.71,20832,3816.87
2023-04-03,West,Mouse,13,14578,9656.43,189514,63980.409999999996
2023-04-03,West,Printer,2,9968,7633.29,19936,4669.42
2023-04-04,West,Phone,13,3967,3070.84,51571,11650.079999999998
2023-04-04,East,Phone,4,8168,6885.6,32672,5129.5999999999985
2023-04-04,South,Laptop,11,12932,8416.88,142252,49666.32000000001
2023-04-04,South,Smartwatch,8,2572,1661.83,20576,7281.360000000001
2023-04-04,North,Tablet,10,4027,3333.6,40270,6934.000000000001
2023-04-05,Central,Smartwatch,11,5458,3321.95,60038,23496.550000000003
2023-04-05,West,Printer,10,10458,6563.95,104580,38940.5
2023-04-06,North,Printer,8,14105,11812.87,112840,18337.039999999994
2023-04-06,East,Tablet,5,4978,3595.81,24890,6910.950000000001
2023-04-06,East,Camera,11,1076,732.39,11836,3779.71
2023-04-07,West,Keyboard,7,5446,3703.04,38122,12200.720000000001
2023-04-08,North,Monitor,11,2629,1854.54,28919,8519.060000000001
2023-04-09,North,Printer,11,6468,5491.68,71148,10739.519999999997
2023-04-10,South,Camera,5,11901,9347.16,59505,12769.2
2023-04-10,South,Mouse,12,8174,6057.87,98088,25393.56
2023-04-11,East,Keyboard,6,7951,5228.46,47706,16335.24
2023-04-11,East,Smartwatch,1,11088,8226.71,11088,2861.290000000001
2023-04-11,East,Smartwatch,7,8503,5960.28,59521,17799.04
2023-04-12,West,Keyboard,6,3619,2837.35,21714,4689.900000000001
2023-04-13,Central,Headphones,11,2427,1619.33,26697,8884.37
2023-04-14,North,Headphones,4,1034,763.49,4136,1082.04
2023-04-14,South,Camera,1,9405,5746.61,9405,3658.3900000000003
2023-04-14,North,Laptop,12,6544,4939.9,78528,19249.200000000004
2023-04-14,West,Laptop,6,6627,4587.08,39762,12239.52
2023-04-15,North,Phone,10,14016,9577.72,140160,44382.8
2023-04-15,South,Tablet,12,941,582.79,11292,4298.52
2023-04-16,Central,Tablet,12,14887,12122.14,178644,33178.32000000001
2023-04-16,East,Printer,4,13491,10154.3,53964,13346.800000000003
2023-04-16,West,Monitor,2,7268,5415.08,14536,3705.84
2023-04-16,Central,Laptop,1,11706,7540.36,11706,4165.64
2023-04-17,East,Mouse,11,3973,2617.63,43703,14909.07
2023-04-17,South,Keyboard,4,1898,1345.35,7592,2210.6000000000004
2023-04-17,East,Smartwatch,13,5293,3761.86,68809,19904.82
2023-04-17,North,Printer,11,1339,992.78,14729,3808.42
2023-04-18,Central,Mouse,14,14938,10865.64,209132,57013.04000000001
2023-04-18,East,Tablet,9,6632,5482.51,59688,10345.409999999998
2023-04-18,South,Smartwatch,10,3355,2639.01,33550,7159.899999999998
2023-04-19,East,Tablet,8,3042,2004.13,24336,8302.96
2023-04-19,Central,Tablet,6,4499,3259.11,26994,7439.339999999999
2023-04-19,West,Laptop,7,4641,3682.41,32487,6710.130000000001
2023-04-20,West,Printer,10,14503,10479.35,145030,40236.5
2023-04-20,East,Tablet,2,3580,2388.12,7160,2383.76
2023-04-20,East,Keyboard,1,6346,4305.75,6346,2040.25
2023-04-20,South,Camera,4,4547,3402.13,18188,4579.48
2023-04-21,South,Phone,8,5984,4711.98,47872,10176.160000000003
2023-04-21,North,Tablet,1,9533,7366.17,9533,2166.83
2023-04-21,East,Laptop,14,9567,6803.3,133938,38691.799999999996
2023-04-21,East,Monitor,8,3109,2260.43,24872,6788.560000000001
2023-04-22,Central,Mouse,6,11519,9439.73,69114,12475.620000000003
2023-04-23,East,Laptop,6,2972,2212.14,17832,4559.160000000001
2023-04-23,North,Monitor,5,13211,9945.63,66055,16326.850000000004
2023-04-23,East,Mouse,11,11093,7710.55,122023,37206.95
2023-04-23,North,Tablet,11,13106,10707.13,144166,26387.570000000007
2023-04-24,East,Printer,4,9411,7457.58,37644,7813.68
2023-04-24,South,Monitor,1,11493,8594.61,11493,2898.3899999999994
2023-04-24,West,Smartwatch,8,10502,6322.98,84016,33432.16
2023-04-25,Central,Headphones,3,7616,5632.44,22848,5950.680000000001
2023-04-25,Central,Printer,1,5557,3582.73,5557,1974.27
2023-04-25,East,Tablet,3,3324,2023.89,9972,3900.33
2023-04-25,Central,Camera,10,11070,9285.85,110700,17841.499999999996
2023-04-26,West,Mouse,14,2177,1773.18,30478,5653.48
2023-04-27,Central,Keyboard,9,7162,4892.26,64458,20427.659999999996
2023-04-27,Central,Printer,4,14124,9896.29,56496,16910.839999999997
2023-04-27,West,Laptop,6,11663,8375.63,69978,19724.220000000005
2023-04-28,North,Smartwatch,2,9883,7748.16,19766,4269.68
2023-04-28,West,Printer,7,13128,10885.15,91896,15699.950000000003
2023-04-29,South,Mouse,5,12331,8922.5,61655,17042.5
2023-04-29,West,Phone,14,3919,3019.36,54866,12594.96
2023-04-29,West,Camera,9,13266,11140.22,119394,19132.020000000004
2023-04-29,Central,Printer,11,2356,1721.21,25916,6982.69
2023-04-29,Central,Laptop,3,1888,1257.22,5664,1892.34
2023-04-30,West,Camera,5,14124,11898.68,70620,11126.599999999999
2023-05-01,West,Phone,1,10142,6783.91,10142,3358.09
2023-05-01,West,Headphones,5,7374,4975.56,36870,11992.199999999997
2023-05-01,West,Keyboard,2,10594,6693.6,21188,7800.799999999999
2023-05-02,Central,Laptop,1,12596,7601.29,12596,4994.71
2023-05-03,North,Keyboard,1,10256,6473.58,10256,3782.42
2023-05-03,South,Printer,14,3641,3072.03,50974,7965.579999999997
2023-05-03,East,Headphones,3,13645,11138.44,40935,7519.6799999999985
2023-05-03,West,Headphones,7,3082,2465.63,21574,4314.589999999999
2023-05-04,East,Monitor,13,6846,4621.73,88998,28915.510000000006
2023-05-04,West,Smartwatch,2,8344,5165.39,16688,6357.219999999999
2023-05-05,North,Phone,2,11972,9283.48,23944,5377.040000000001
2023-05-05,West,Laptop,3,3592,2181.35,10776,4231.950000000001
2023-05-05,North,Camera,14,14472,10729.15,202608,52399.90000000001
2023-05-05,Central,Keyboard,3,11002,7363.9,33006,10914.300000000001
2023-05-06,North,Monitor,2,1236,952.83,2472,566.3399999999999
2023-05-07,South,Tablet,12,13946,11853.31,167352,25112.280000000006
2023-05-07,South,Laptop,2,8615,6286.54,17230,4656.92
2023-05-08,Central,Smartwatch,12,10583,6983.58,126996,43193.04
2023-05-08,West,Printer,14,9901,7045.5,138614,39977.0
2023-05-08,South,Laptop,6,5802,3961.91,34812,11040.54
2023-05-08,North,Monitor,12,10205,8113.13,122460,25102.44
2023-05-08,East,Monitor,5,10901,6803.04,54505,20489.8
2023-05-09,South,Mouse,14,6421,4464.91,89894,27385.260000000002
2023-05-09,West,Keyboard,6,13249,9793.99,79494,20730.06
2023-05-10,Central,Smartwatch,1,2274,1867.06,2274,406.94000000000005
2023-05-10,East,Smartwatch,4,1959,1208.0,7836,3004.0
2023-05-10,North,Mouse,10,3297,2099.23,32970,11977.7
2023-05-10,South,Smartwatch,11,14651,9967.92,161161,51513.88
2023-05-12,North,Headphones,11,5178,4314.14,56958,9502.459999999995
2023-05-12,West,Camera,13,3194,2202.19,41522,12893.529999999999
2023-05-12,East,Monitor,4,3216,2265.37,12864,3802.5200000000004
2023-05-13,East,Monitor,3,7269,4389.95,21807,8637.150000000001
2023-05-13,North,Printer,6,8030,5020.45,48180,18057.300000000003
2023-05-13,East,Laptop,8,9831,7564.04,78648,18135.68
2023-05-14,East,Monitor,5,14899,9926.02,74495,24864.899999999998
2023-05-15,North,Monitor,9,10690,8497.28,96210,19734.479999999996
2023-05-15,South,Phone,2,14603,8934.19,29206,11337.619999999999
2023-05-15,North,Phone,5,2816,1752.66,14080,5316.7
2023-05-15,East,Tablet,11,6374,5380.68,70114,10926.519999999997
2023-05-15,East,Laptop,7,7894,6029.9,55258,13048.700000000003
2023-05-15,South,Keyboard,2,5837,3808.58,11674,4056.84
2023-05-16,Central,Mouse,9,10870,6944.44,97830,35330.04
2023-05-16,Central,Camera,9,4043,2870.2,36387,10555.2
2023-05-17,West,Laptop,12,2324,1784.7,27888,6471.599999999999
2023-05-17,East,Headphones,9,4693,3520.89,42237,10548.990000000002
2023-05-17,South,Phone,14,7381,5937.32,103334,20211.520000000004
2023-05-18,South,Keyboard,4,6704,4813.18,26816,7563.279999999999
2023-05-18,Central,Phone,4,3035,2292.64,12140,2969.4400000000005
2023-05-19,South,Printer,6,7170,5637.76,43020,9193.439999999999
2023-05-19,North,Mouse,11,10042,6751.89,110462,36191.21
2023-05-20,Central,Printer,1,2515,1796.82,2515,718.1800000000001
2023-05-20,East,Headphones,9,12694,9495.4,114246,28787.4
2023-05-21,East,Headphones,1,1142,953.45,1142,188.54999999999995
2023-05-21,Central,Smartwatch,2,2958,2061.85,5916,1792.3000000000002
2023-05-22,Central,Mouse,10,11451,8363.26,114510,30877.399999999998
2023-05-22,South,Laptop,7,5596,4166.84,39172,10004.119999999999
2023-05-22,South,Mouse,3,3962,3143.56,11886,2455.32
2023-05-23,South,Tablet,9,13449,9351.43,121041,36878.13
2023-05-24,Central,Mouse,2,5854,4688.22,11708,2331.5599999999995
2023-05-24,Central,Monitor,11,11585,8102.28,127435,38309.920000000006
2023-05-24,North,Phone,9,13213,8111.39,118917,45914.49
2023-05-24,West,Tablet,14,5292,3959.5,74088,18655.0
2023-05-24,Central,Camera,9,4666,3502.11,41994,10475.009999999998
2023-05-25,East,Phone,4,6667,4661.83,26668,8020.68
2023-05-25,West,Phone,4,4723,2907.42,18892,7262.32
2023-05-26,Central,Laptop,4,12756,8171.57,51024,18337.72
2023-05-26,East,Phone,12,7268,5070.91,87216,26365.08
2023-05-26,Central,Laptop,14,14802,11928.13,207228,40234.18000000001
2023-05-26,East,Smartwatch,9,9715,7960.81,87435,15787.709999999995
2023-05-27,Central,Monitor,6,3022,2217.86,18132,4824.839999999999
2023-05-28,West,Smartwatch,6,5578,4661.69,33468,5497.860000000002
2023-05-28,West,Keyboard,12,6642,5615.37,79704,12319.560000000001
2023-05-29,Central,Mouse,1,13874,8726.95,13874,5147.049999999999
2023-05-29,West,Headphones,6,6174,3838.63,37044,14012.22
2023-05-29,South,Tablet,4,6608,4666.05,26432,7767.799999999999
2023-05-29,North,Phone,6,14212,11030.49,85272,19089.06
2023-05-30,West,Headphones,11,7452,6073.22,81972,15166.579999999998
2023-05-30,North,Keyboard,14,8195,5500.03,114730,37729.58
2023-05-30,South,Keyboard,7,8416,6997.48,58912,9929.640000000003
2023-05-30,West,Smartwatch,8,13355,10947.8,106840,19257.600000000006
2023-05-31,East,Printer,8,4251,3128.09,34008,8983.279999999999
2023-05-31,East,Camera,4,13791,10870.88,55164,11680.480000000003
